"Snr","Stadtteil","männlich","weiblich","ehelich","nicht ehelich"
"02","Ostviertel",,39,44,31
"03","Nordviertel",,41,58,32
"04","Westviertel",,4,11,6
"05","Südviertel",,63,79,33
"06","Südostviertel",,46,69,45
"11","Huttrop",,49,88,25
"36","Frillendorf",,23,30,25
"10","Rüttenscheid",,149,201,74
"12","Rellinghausen",,10,18,6
"13","Bergerhausen",,36,62,19
"14","Stadtwald",,33,62,13
"07","Altendorf",,130,152,87
"08","Frohnhausen",,132,165,107
"09","Holsterhausen",,81,149,56
"15","Fulerum",9,13,18,4
"28","Haarzopf",,17,31,5
"41","Margarethenhöhe",,16,33,12
"16","Schönebeck",,35,60,15
"17","Bedingrade",,28,33,22
"18","Frintrop",,29,31,23
"19","Dellwig",,31,42,17
"20","Gerschede",,35,47,19
"21","Borbeck-Mitte",,54,77,25
"22","Bochold",,80,120,55
"23","Bergeborbeck",,26,22,24
"24","Altenessen-Nord",,52,90,35
"25","Altenessen-Süd",,145,180,106
"40","Karnap",,36,39,23
"50","Vogelheim",,29,34,23
"37","Schonnebeck",,51,73,24
"38","Stoppenberg",,69,91,44
"39","Katernberg",,106,142,74
"34","Steele",,57,76,35
"35","Kray",,81,96,59
"45","Freisenbruch",,62,75,43
"46","Horst",,32,41,16
"47","Leithe",,22,29,13
"31","Heisingen",,42,64,17
"32","Kupferdreh",,30,57,15
"33","Byfang",3,9,9,3
"43","Überruhr-Hinsel",,18,27,15
"44","Überruhr-Holthausen",,30,39,13
"48","Burgaltendorf",,38,53,11
"26","Bredeney",,30,67,13
"27","Schuir",5,6,11,-
"29","Werden",,31,40,15
"30","Heidhausen",,12,21,11
"42","Fischlaken",,14,24,9
"49","Kettwig",,57,91,32
"1)"," ohne Geborene von Müttern mit Hauptwohnsitz außerhalb von Essen",,,,
